Company Number,Company Name,Date Incorporated,Active Directors,Registered Address
04849648,FOUR COUNTIES INSURANCE BROKERS LIMITED,7/29/2003,2,"1 Minster Court, London, United Kingdom, EC3R 7AA"
09320740,FRANCO FLORENZI LTD,11/20/2014,2,"4 Armstrong House, Manor Fields, London, England, SW15 3NF"
10399389,FREEDOM BROKERS LTD,9/28/2016,1,"Eden Point Three Acres Lane, Cheadle Hulme, Cheadle, England, SK8 6RL"
02783487,FREEHOLD MANAGERS PLC,1/20/1993,5,"Butlers Wharf Building, 36 Shad Thames, London, SE1 2YE"
NI644531,FRIENDLY FINANCIAL LIMITED,3/14/2017,1,"Unit 36 Templemore Business Park, Derry, Northern Ireland, BT48 0LD"
09938502,FRONTLINE DISCOUNT LTD,1/6/2016,1,"15 Limousin Avenue, Milton Keynes, Bucks, England, MK8 1AF"
10831430,FSB INSURANCE SERVICE LIMITED,6/22/2017,5,"20 Fenchurch Street, London, United Kingdom, EC3M 3AZ"
09241439,FULL-TIME COVER LIMITED,9/30/2014,2,"8 Devonshire Square, 3rd Floor, London, England, EC2M 4PL"
05241217,FUSION INSURANCE SERVICES SCANDINAVIA LIMITED,9/24/2004,2,"1 Minster Court, London, United Kingdom, EC3R 7AA"
09733763,FWD SOLUTIONS LIMITED,8/14/2015,1,"First Floor, Telecom House, 125-135 Preston Road, Brighton, England, BN1 6AF"
01392638,G.A. HINKS & CO. LIMITED,10/5/1978,2,"16 Wright Street, Hull, East Yorkshire, HU2 8JU"
03726095,GAUNTLET RISK MANAGEMENT LIMITED,3/3/1999,2,"Unit 15 Acorn Business Park, Killingbeck Drive, Leeds, England, LS14 6UF"
11507520,GB FINANCIAL GROUP LTD,8/8/2018,1,"Lockheed House Green Lane Business Park, 238 Green Lane, London, England, SE9 3TL"
OC425721,GB GLOBAL SOLUTIONS LLP,1/22/2019,0,"20-22 Wenlock Road, London, England, N1 7GU"
10623965,GEO SPECIALTY LIMITED,2/16/2017,2,"1 Minster Court, London, United Kingdom, EC3R 7AA"
03936940,GILL INSURANCE & FINANCE CONSULTANTS LTD,3/1/2000,2,"78 Tavistock Street, Bedford, Bedfordshire, MK40 2RP"
00747007,GILL NOBLE & COMPANY LIMITED,1/16/1963,4,"Pennyweights, Welcomes Road, Kenley, Surrey, CR8 5HB"
06397649,GILL NOBLE INVESTMENTS LIMITED,10/12/2007,1,"Pennyweights, 163 Welcomes Road, Kenley, Surrey, CR8 5HB"
11424874,GLOBAL ACCESS CARE LTD,6/20/2018,1,"Corby Business Centre, Eismann Way, Corby, England, NN17 5ZB"
03399319,GLOBAL INVESTIGATIONS LIMITED,7/7/1997,1,"62 The Street, Ashtead, Surrey, KT21 1AT"
SC270103,GLOBAL VOICES LTD.,7/1/2004,1,"Unit A Logie Court, Stirling University Innovation Park, Stirling, Scotland, FK9 4NF"
10195899,GRAHAM GOLDTHORPE STONEMASONRY LTD,5/24/2016,1,"The Stone Hub, Bullhouse Mill Lee Lane, Millhouse Green, Sheffield, England, S36 9NN"
04623595,GRAHAM SYKES LIMITED,12/23/2002,1,"28 Alexandra Terrace, Exmouth, Devon, EX8 1BD"
SC117847,GRAY LINE (SCOTLAND) LIMITED,5/12/1989,2,"81 Salamander Street, Leith, Edinburgh, EH6 7JZ"
